user1,user2,contact,firstcontacttimestamp,lastcontacttimestamp,distance,duration
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,0bf9011d-3b83-41fb-b3c8-46e5e240da1e,1,2022-11-16 20:38:59.141000-03:00,2022-11-16 20:39:15.307000-03:00,192.0,0.26943333333333336
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,0bf9011d-3b83-41fb-b3c8-46e5e240da1e,2,2022-11-16 21:23:19.201000-03:00,2022-11-16 21:23:29.442000-03:00,232.0,0.17068333333333333
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,1,2022-11-14 10:13:57.954000-03:00,2022-11-14 10:13:57.954000-03:00,671.0,0.0
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,2,2022-11-14 13:57:37.269000-03:00,2022-11-14 14:10:24.535000-03:00,163.0,12.787766666666666
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,3,2022-11-14 14:42:00.176000-03:00,2022-11-14 14:42:41.447000-03:00,81.0,0.68785
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,4,2022-11-14 15:47:40.984000-03:00,2022-11-14 16:05:45.126000-03:00,186.0,18.069033333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,5,2022-11-15 21:09:21.061000-03:00,2022-11-15 21:13:57.568000-03:00,182.0,4.60845
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,6,2022-11-15 21:42:47.220000-03:00,2022-11-15 21:42:47.320000-03:00,245.0,0.0016666666666666668
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,7,2022-11-15 22:07:14.369000-03:00,2022-11-15 22:07:30.169000-03:00,8.5,0.26333333333333336
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,8,2022-11-16 18:51:37.329000-03:00,2022-11-16 18:54:27.831000-03:00,19.0,2.8417000000000003
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,9,2022-11-16 20:22:18.863000-03:00,2022-11-16 20:22:31.666000-03:00,247.0,0.21338333333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,10,2022-11-16 20:38:55.470000-03:00,2022-11-16 20:38:55.470000-03:00,315.0,0.0
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,207ff938-b66d-4137-8343-7088616af16f,11,2022-11-16 21:23:29.425000-03:00,2022-11-16 21:23:29.457000-03:00,261.0,0.0005333333333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,1,2022-11-14 13:01:23.181000-03:00,2022-11-14 13:01:23.181000-03:00,369.0,0.0
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,2,2022-11-14 13:29:25.961000-03:00,2022-11-14 13:29:36.366000-03:00,406.0,0.17341666666666666
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,3,2022-11-14 13:57:37.237000-03:00,2022-11-14 14:10:24.508000-03:00,230.8,12.787849999999999
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,4,2022-11-14 14:42:00.164000-03:00,2022-11-14 14:42:41.432000-03:00,62.333333333333336,0.6878
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,5,2022-11-14 15:47:40.964000-03:00,2022-11-14 16:05:45.100000-03:00,18.333333333333332,18.068933333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,6,2022-11-14 16:37:02.283000-03:00,2022-11-14 16:38:14.194000-03:00,6.0,1.1985166666666667
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,7,2022-11-14 19:02:59.772000-03:00,2022-11-14 19:02:59.892000-03:00,161.0,0.002
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,8,2022-11-15 21:10:06.270000-03:00,2022-11-15 21:25:41.707000-03:00,202.66666666666666,15.590616666666667
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,5bfa6f7f-4264-48cb-a1fd-f2cab29af86f,9,2022-11-16 20:22:18.849000-03:00,2022-11-16 20:23:10.397000-03:00,261.0,0.8591333333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,1,2022-11-14 13:01:23.196000-03:00,2022-11-14 13:01:23.196000-03:00,357.0,0.0
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,2,2022-11-14 13:29:25.976000-03:00,2022-11-14 13:29:36.380000-03:00,315.0,0.1734
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,3,2022-11-14 13:57:18.167000-03:00,2022-11-14 14:10:24.523000-03:00,373.0,13.105933333333333
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,4,2022-11-14 16:05:44.789000-03:00,2022-11-14 16:06:21.287000-03:00,315.0,0.6083
